"","Number of Responses","Variable Name","Year","Region"
"47",10,"CEOrace_7","2","Southwest and Mountain Central"
"48",101,"DonImportance","2","Southwest and Mountain Central"
"49",102,"FRchanges_1","2","Southwest and Mountain Central"
"50",102,"FRchanges_1_1","2","Southwest and Mountain Central"
"51",98,"FRchanges_1_2","2","Southwest and Mountain Central"
"52",98,"FRchanges_1_3","2","Southwest and Mountain Central"
"53",99,"FRchanges_1_6","2","Southwest and Mountain Central"
"54",101,"FRchanges_1_7","2","Southwest and Mountain Central"
"55",102,"FRchanges_2","2","Southwest and Mountain Central"
"56",101,"FRchanges_3","2","Southwest and Mountain Central"
"57",102,"FRchanges_4","2","Southwest and Mountain Central"
"58",101,"FRchanges_5","2","Southwest and Mountain Central"
"59",102,"FRchanges_6","2","Southwest and Mountain Central"
"60",102,"FRchanges_7","2","Southwest and Mountain Central"
"61",102,"FRchanges_8","2","Southwest and Mountain Central"
"62",101,"FRchanges_9","2","Southwest and Mountain Central"
"63",26,"Funding1_1_9","2","Southwest and Mountain Central"
"64",36,"Funding1_2_9","2","Southwest and Mountain Central"
"65",102,"VolImportance","2","Southwest and Mountain Central"
"66",0,"BCrace_1","2","Southwest"
"67",0,"BCrace_2","2","Southwest"
"68",1,"BCrace_3","2","Southwest"
"69",0,"BCrace_4","2","Southwest"
"70",23,"BCrace_5","2","Southwest"
"71",1,"BCrace_6","2","Southwest"
"72",0,"BCrace_7","2","Southwest"
"73",3,"CEOrace_1","2","Southwest"
"74",3,"CEOrace_2","2","Southwest"
"75",5,"CEOrace_3","2","Southwest"
"76",3,"CEOrace_4","2","Southwest"
"77",16,"CEOrace_5","2","Southwest"
"78",0,"CEOrace_6","2","Southwest"
"79",3,"CEOrace_7","2","Southwest"
"80",39,"DonImportance","2","Southwest"
"81",39,"FRchanges_1","2","Southwest"
"82",39,"FRchanges_1_1","2","Southwest"
"83",37,"FRchanges_1_2","2","Southwest"
"84",37,"FRchanges_1_3","2","Southwest"
"85",37,"FRchanges_1_6","2","Southwest"
"86",38,"FRchanges_1_7","2","Southwest"
"87",39,"FRchanges_2","2","Southwest"
"88",39,"FRchanges_3","2","Southwest"
"89",39,"FRchanges_4","2","Southwest"
"90",38,"FRchanges_5","2","Southwest"
"91",39,"FRchanges_6","2","Southwest"
"92",39,"FRchanges_7","2","Southwest"
"93",39,"FRchanges_8","2","Southwest"
"94",38,"FRchanges_9","2","Southwest"
"95",9,"Funding1_1_9","2","Southwest"
"96",14,"Funding1_2_9","2","Southwest"
"97",39,"VolImportance","2","Southwest"
"98",1,"BCrace_1","2","Mountain Central"
"99",4,"BCrace_2","2","Mountain Central"
"100",2,"BCrace_3","2","Mountain Central"
"101",1,"BCrace_4","2","Mountain Central"
"102",32,"BCrace_5","2","Mountain Central"
"103",3,"BCrace_6","2","Mountain Central"
"104",2,"BCrace_7","2","Mountain Central"
"105",7,"CEOrace_1","2","Mountain Central"
"106",8,"CEOrace_2","2","Mountain Central"
"107",10,"CEOrace_3","2","Mountain Central"
"108",7,"CEOrace_4","2","Mountain Central"
"109",33,"CEOrace_5","2","Mountain Central"
"110",2,"CEOrace_6","2","Mountain Central"
"111",7,"CEOrace_7","2","Mountain Central"
"112",62,"DonImportance","2","Mountain Central"
"113",63,"FRchanges_1","2","Mountain Central"
"114",63,"FRchanges_1_1","2","Mountain Central"
"115",61,"FRchanges_1_2","2","Mountain Central"
"116",61,"FRchanges_1_3","2","Mountain Central"
"117",62,"FRchanges_1_6","2","Mountain Central"
"118",63,"FRchanges_1_7","2","Mountain Central"
"119",63,"FRchanges_2","2","Mountain Central"
"120",62,"FRchanges_3","2","Mountain Central"
"121",63,"FRchanges_4","2","Mountain Central"
"122",63,"FRchanges_5","2","Mountain Central"
"123",63,"FRchanges_6","2","Mountain Central"
"124",63,"FRchanges_7","2","Mountain Central"
"125",63,"FRchanges_8","2","Mountain Central"
"126",63,"FRchanges_9","2","Mountain Central"
"127",17,"Funding1_1_9","2","Mountain Central"
"128",22,"Funding1_2_9","2","Mountain Central"
"129",63,"VolImportance","2","Mountain Central"
